"Month","Year","PRODUCTS","Quantity (000 Metric Tonnes)","updated_date"
"December","2021","HSD","7302.00","2023-05-29"
"November","2021","HSD","6506.00","2023-05-29"
"October","2021","HSD","6616.00","2023-05-29"
"September","2021","HSD","5513.00","2023-05-29"
"August","2021","HSD","5603.00","2023-05-29"
"July","2021","HSD","6134.00","2023-05-29"
"June","2021","HSD","6195.00","2023-05-29"
"May","2021","HSD","5532.00","2023-05-29"
"April","2021","HSD","6676.00","2023-05-29"
"March","2021","HSD","7225.00","2023-05-29"
"February","2021","HSD","6569.00","2023-05-29"
"January","2021","HSD","6806.00","2023-05-29"
"December","2020","HSD","7192.00","2023-05-29"
"November","2020","HSD","7039.00","2023-05-29"
"October","2020","HSD","7001.00","2023-05-29"
"September","2020","HSD","5487.00","2023-05-29"
"August","2020","HSD","4843.00","2023-05-29"
"July","2020","HSD","5506.00","2023-05-29"
"June","2020","HSD","6299.00","2023-05-29"
"May","2020","HSD","5494.00","2023-05-29"
"April","2020","HSD","3252.00","2023-05-29"
"January","2023","LDO","50.33","2023-05-29"
"December","2022","LDO","65.14","2023-05-29"
"November","2022","LDO","56.36","2023-05-29"
"October","2022","LDO","66.19","2023-05-29"
"September","2022","LDO","62.05","2023-05-29"
"August","2022","LDO","66.31","2023-05-29"
"July","2022","LDO","60.01","2023-05-29"
"June","2022","LDO","57.36","2023-05-29"
"May","2022","LDO","54.76","2023-05-29"
"April","2022","LDO","52.14","2023-05-29"
"March","2022","LDO","82.00","2023-05-29"
"February","2022","LDO","85.00","2023-05-29"
"January","2022","LDO","92.00","2023-05-29"
"December","2021","LDO","93.00","2023-05-29"
"November","2021","LDO","65.00","2023-05-29"
"October","2021","LDO","90.00","2023-05-29"
"September","2021","LDO","85.00","2023-05-29"
"August","2021","LDO","82.00","2023-05-29"
"July","2021","LDO","77.00","2023-05-29"
"June","2021","LDO","94.00","2023-05-29"
"May","2021","LDO","77.00","2023-05-29"
"April","2021","LDO","96.00","2023-05-29"
"March","2021","LDO","112.00","2023-05-29"
"February","2021","LDO","80.00","2023-05-29"
"January","2021","LDO","87.00","2023-05-29"
"December","2020","LDO","88.00","2023-05-29"
"November","2020","LDO","69.00","2023-05-29"
